Time,Ligand,Kurtosis,Mean,Date,Cell,Dose,Skew,Variance,alphStatCov,Bivalent
0.5,IL2,1.3171946474661338,57953.77513038571,3/15/2019,Treg,9.333333,-0.9928805037655386,385856551.4145324,330164.08335460495,0.0
0.5,IL2,1.1789848013433515,55545.943927872024,3/15/2019,Treg,3.111,-1.1109011809090477,445794600.78567445,1387.8259537655595,0.0
0.5,IL2,0.5559285342384945,53713.18372280519,3/15/2019,Treg,1.037037,-1.0055598680861673,569731515.1837214,447976.59931203944,0.0
0.5,IL2,0.21908894366189058,49046.09384489453,3/15/2019,Treg,0.345679,-0.8056278621966252,554820540.0536366,544509.5346383069,0.0
0.5,IL2,-0.3259527263104429,42346.69458527446,3/15/2019,Treg,0.115226,-0.5234541005271409,554050446.5879735,574836.5018605074,0.0
0.5,IL2,-0.8073786493907673,24551.549962724,3/15/2019,Treg,0.038409,0.15635159790754316,532651496.33440495,937048.5130492466,0.0
0.5,IL2,-0.16204259103221785,12784.302675762088,3/15/2019,Treg,0.012803,0.7697794213956218,448172612.135945,1122791.493172579,0.0
0.5,IL2,0.11435860758601857,5986.532953499742,3/15/2019,Treg,0.004268,0.9424719847976477,291028277.24999064,814830.6096934027,0.0
0.5,IL2,1.519634174102312,1570.987939460807,3/15/2019,Treg,0.001423,1.4702128998654582,240186346.00731483,478469.04912592896,0.0
0.5,IL2,4.444340342491586,0.0,3/15/2019,Treg,0.000474,2.0622465268882,209489936.87099048,468828.81070238247,0.0
4.0,IL15,-0.18005697324417902,19514.184854471692,3/15/2019,Treg,84.0,0.5777174190665921,350194970.7024127,239500.47322204954,0
4.0,IL15,-0.48115117777571825,28305.23676663044,3/15/2019,Treg,28.0,0.4562550346685669,497627022.12946117,1523932.6524326205,0
4.0,IL15,-0.5992364457578256,36425.43049017229,3/15/2019,Treg,9.333333,0.16144156835135745,511644487.5589354,511147.31032964145,0
4.0,IL15,-0.39860634187733757,41281.812764077265,3/15/2019,Treg,3.111,-0.2517460615000789,471909743.83503145,229012.28003601846,0
4.0,IL15,-0.17100855215844213,35154.38491318039,3/15/2019,Treg,1.037037,-0.019141919908852948,371893860.2880853,135780.20432974404,0
4.0,IL15,-0.1390565340359231,15397.33151315704,3/15/2019,Treg,0.345679,0.7060214305314839,267797911.40618667,134965.4924809262,0
4.0,IL15,3.189187482153188,3592.7296510694323,3/15/2019,Treg,0.115226,1.7892176258127257,185984716.47584718,316462.2503848181,0
4.0,IL15,7.413326100294855,0.0,3/15/2019,Treg,0.038409,2.5660696531341007,124552026.73538668,307826.1907047999,0
4.0,IL15,3.7201131126764615,3644.793226207179,3/15/2019,Treg,0.012803,2.0145982172970642,335956038.2759194,578150.1919409456,0
4.0,IL15,6.261708355473342,0.0,3/15/2019,Treg,0.004268,2.299324062694963,116652848.57313575,211123.55494792567,0
4.0,IL15,16.627639327907087,0.0,3/15/2019,Treg,0.001423,3.7330262187385808,100446472.12572713,274385.5365493225,0
4.0,IL15,11.028137553470273,0.0,3/15/2019,Treg,0.000474,3.1048247603333685,150788135.4065593,454917.0646451481,0
2.0,IL15,-0.25068188892464116,47935.46126176185,3/15/2019,Treg,84.0,-0.47006263427935646,512099173.6254743,34389.49269492399,0
2.0,IL15,-0.359511154994542,43487.39797001645,3/15/2019,Treg,28.0,-0.29615703340138433,476370747.05079657,32490.310186626568,0
2.0,IL15,-0.499093782311292,47088.76444339037,3/15/2019,Treg,9.333333,-0.3591857253676477,540986603.909685,-10172.412313818853,0
2.0,IL15,-0.2796866502227058,46272.45507838599,3/15/2019,Treg,3.111,-0.37084805847109126,483267611.6583648,-120433.47173762522,0
2.0,IL15,-0.6934192237982235,34116.36423625462,3/15/2019,Treg,1.037037,0.004077965007026467,472051428.64591694,1325.3608844408775,0
2.0,IL15,1.2864381246216015,12715.721828341006,3/15/2019,Treg,0.345679,1.0555749229927849,297551559.94544256,361583.24808290286,0
2.0,IL15,3.148976531566511,5257.632446584303,3/15/2019,Treg,0.115226,1.756761441138279,271029810.9083367,598279.2559034876,0
2.0,IL15,2.825022141052994,1832.8116844805354,3/15/2019,Treg,0.038409,1.8277893921976145,202302215.39814657,372776.3231677338,0
2.0,IL15,2.2236842545393225,4272.884173965522,3/15/2019,Treg,0.012803,1.6292531759709283,250476011.18561724,554086.7975823116,0
2.0,IL15,4.637042647701194,41.812787349452265,3/15/2019,Treg,0.004268,2.08714327925323,141929330.20907614,327330.8115647399,0
