Dose,Bin,Time,Mean,Date,NumCells,Cell,Ligand,Bivalent
0.000474,3,2.0,0.0,11/8/2019,92,Treg,WT N-term,0.0
84.0,1,1.0,22568.32,11/8/2019,168,Treg,WT N-term,0.0
84.0,2,1.0,30732.09,11/8/2019,177,Treg,WT N-term,0.0
84.0,3,1.0,33449.598,11/8/2019,63,Treg,WT N-term,0.0
28.0,1,1.0,23131.191,11/8/2019,124,Treg,WT N-term,0.0
28.0,2,1.0,26902.7,11/8/2019,158,Treg,WT N-term,0.0
28.0,3,1.0,35949.086,11/8/2019,66,Treg,WT N-term,0.0
9.333333,1,1.0,19645.273,11/8/2019,183,Treg,WT N-term,0.0
9.333333,2,1.0,24103.225,11/8/2019,217,Treg,WT N-term,0.0
9.333333,3,1.0,27597.36,11/8/2019,66,Treg,WT N-term,0.0
3.111,1,1.0,19506.305,11/8/2019,128,Treg,WT N-term,0.0
3.111,2,1.0,28359.598,11/8/2019,149,Treg,WT N-term,0.0
3.111,3,1.0,35692.836,11/8/2019,53,Treg,WT N-term,0.0
1.037037,1,1.0,11389.148,11/8/2019,123,Treg,WT N-term,0.0
1.037037,2,1.0,18294.627,11/8/2019,138,Treg,WT N-term,0.0
1.037037,3,1.0,25623.828,11/8/2019,64,Treg,WT N-term,0.0
0.345679,1,1.0,10412.221,11/8/2019,163,Treg,WT N-term,0.0
0.345679,2,1.0,20773.75,11/8/2019,224,Treg,WT N-term,0.0
0.345679,3,1.0,30262.855,11/8/2019,94,Treg,WT N-term,0.0
0.115226,1,1.0,1427.2861,11/8/2019,155,Treg,WT N-term,0.0
0.115226,2,1.0,4119.54,11/8/2019,204,Treg,WT N-term,0.0
0.115226,3,1.0,12764.467,11/8/2019,90,Treg,WT N-term,0.0
0.038409,1,1.0,0.0,11/8/2019,166,Treg,WT N-term,0.0
0.038409,2,1.0,782.6738,11/8/2019,221,Treg,WT N-term,0.0
0.038409,3,1.0,5608.2285,11/8/2019,104,Treg,WT N-term,0.0
0.012803,1,1.0,0.0,11/8/2019,169,Treg,WT N-term,0.0
0.012803,2,1.0,865.88965,11/8/2019,229,Treg,WT N-term,0.0
0.012803,3,1.0,5155.0303,11/8/2019,86,Treg,WT N-term,0.0
0.004268,1,1.0,0.0,11/8/2019,160,Treg,WT N-term,0.0
0.004268,2,1.0,0.0,11/8/2019,205,Treg,WT N-term,0.0
0.004268,3,1.0,0.0,11/8/2019,96,Treg,WT N-term,0.0
