Cells,Ligand,Time,Concentration,RFU
NK,IL2-060 monomeric,30.0,84.0,2864.571045
NK,IL2-060 monomeric,30.0,28.0,2569.425293
NK,IL2-060 monomeric,30.0,9.333333332999999,1003.1414789999999
NK,IL2-060 monomeric,30.0,3.111111111,961.3278197999999
NK,IL2-060 monomeric,30.0,1.037037037,839.3077392999999
NK,IL2-060 monomeric,30.0,0.345679012,885.1359252999998
NK,IL2-060 monomeric,30.0,0.115226337,836.6878052000001
NK,IL2-060 monomeric,30.0,0.038408779,718.4856567
NK,IL2-060 monomeric,30.0,0.012802926000000001,607.6997681
NK,IL2-060 monomeric,30.0,0.004267642,674.4278563999999
NK,IL2-060 monomeric,30.0,0.0014225470000000001,680.8763428
NK,IL2-060 monomeric,30.0,0.00047418199999999997,692.8968506
NK,IL2-060 monomeric,60.0,84.0,3207.364502
NK,IL2-060 monomeric,60.0,28.0,2391.93335
NK,IL2-060 monomeric,60.0,9.333333332999999,939.1534424
NK,IL2-060 monomeric,60.0,3.111111111,896.8751221000001
NK,IL2-060 monomeric,60.0,1.037037037,868.3199463
NK,IL2-060 monomeric,60.0,0.345679012,829.3625488
NK,IL2-060 monomeric,60.0,0.115226337,793.4324951
NK,IL2-060 monomeric,60.0,0.038408779,708.5219727000001
NK,IL2-060 monomeric,60.0,0.012802926000000001,778.0620727999999
NK,IL2-060 monomeric,60.0,0.004267642,753.0650635
NK,IL2-060 monomeric,60.0,0.0014225470000000001,722.2407227000001
NK,IL2-060 monomeric,60.0,0.00047418199999999997,641.1708984
NK,IL2-060 monomeric,120.0,84.0,2627.638184
NK,IL2-060 monomeric,120.0,28.0,2217.2033690000003
NK,IL2-060 monomeric,120.0,9.333333332999999,1083.0738529999999
NK,IL2-060 monomeric,120.0,3.111111111,796.1731567
NK,IL2-060 monomeric,120.0,1.037037037,801.3494262999999
NK,IL2-060 monomeric,120.0,0.345679012,787.3806762999999
NK,IL2-060 monomeric,120.0,0.115226337,715.5168457000001
NK,IL2-060 monomeric,120.0,0.038408779,676.1759033
NK,IL2-060 monomeric,120.0,0.012802926000000001,684.9047852000001
NK,IL2-060 monomeric,120.0,0.004267642,672.3917847
NK,IL2-060 monomeric,120.0,0.0014225470000000001,647.4306641
NK,IL2-060 monomeric,120.0,0.00047418199999999997,677.5268555
NK,IL2-060 monomeric,240.0,84.0,2463.203613
NK,IL2-060 monomeric,240.0,28.0,2117.798584
NK,IL2-060 monomeric,240.0,9.333333332999999,1785.246094
NK,IL2-060 monomeric,240.0,3.111111111,1433.2932130000002
NK,IL2-060 monomeric,240.0,1.037037037,1065.713989
NK,IL2-060 monomeric,240.0,0.345679012,1008.484375
NK,IL2-060 monomeric,240.0,0.115226337,939.5075684000001
NK,IL2-060 monomeric,240.0,0.038408779,875.5268555
NK,IL2-060 monomeric,240.0,0.012802926000000001,853.5600586000002
NK,IL2-060 monomeric,240.0,0.004267642,797.4299316
NK,IL2-060 monomeric,240.0,0.0014225470000000001,724.5395507999999
NK,IL2-060 monomeric,240.0,0.00047418199999999997,771.3665771000001
CD8+,IL2-060 monomeric,30.0,84.0,4269.480469
CD8+,IL2-060 monomeric,30.0,28.0,2723.151611
CD8+,IL2-060 monomeric,30.0,9.333333332999999,886.1820068
CD8+,IL2-060 monomeric,30.0,3.111111111,850.0006714
CD8+,IL2-060 monomeric,30.0,1.037037037,858.8248291000001
CD8+,IL2-060 monomeric,30.0,0.345679012,778.4116211
CD8+,IL2-060 monomeric,30.0,0.115226337,841.581543
CD8+,IL2-060 monomeric,30.0,0.038408779,786.2477417
CD8+,IL2-060 monomeric,30.0,0.012802926000000001,713.8145752
CD8+,IL2-060 monomeric,30.0,0.004267642,733.6154785
CD8+,IL2-060 monomeric,30.0,0.0014225470000000001,733.0803222999999
CD8+,IL2-060 monomeric,30.0,0.00047418199999999997,722.7471924
CD8+,IL2-060 monomeric,60.0,84.0,4086.824219
CD8+,IL2-060 monomeric,60.0,28.0,2601.611328
CD8+,IL2-060 monomeric,60.0,9.333333332999999,961.0355225
CD8+,IL2-060 monomeric,60.0,3.111111111,882.7504272
CD8+,IL2-060 monomeric,60.0,1.037037037,863.722168
CD8+,IL2-060 monomeric,60.0,0.345679012,843.7417603
CD8+,IL2-060 monomeric,60.0,0.115226337,772.6571045
CD8+,IL2-060 monomeric,60.0,0.038408779,783.1448975
CD8+,IL2-060 monomeric,60.0,0.012802926000000001,792.1572266
CD8+,IL2-060 monomeric,60.0,0.004267642,791.6490478999999
CD8+,IL2-060 monomeric,60.0,0.0014225470000000001,768.9430542
CD8+,IL2-060 monomeric,60.0,0.00047418199999999997,733.5634766
CD8+,IL2-060 monomeric,120.0,84.0,3365.813477
CD8+,IL2-060 monomeric,120.0,28.0,2202.4216309999997
CD8+,IL2-060 monomeric,120.0,9.333333332999999,960.4195557
CD8+,IL2-060 monomeric,120.0,3.111111111,868.8483887
CD8+,IL2-060 monomeric,120.0,1.037037037,849.5151978
CD8+,IL2-060 monomeric,120.0,0.345679012,819.5705566
CD8+,IL2-060 monomeric,120.0,0.115226337,805.4619141
CD8+,IL2-060 monomeric,120.0,0.038408779,770.6212158
CD8+,IL2-060 monomeric,120.0,0.012802926000000001,778.6083374
CD8+,IL2-060 monomeric,120.0,0.004267642,762.5836182
CD8+,IL2-060 monomeric,120.0,0.0014225470000000001,758.9215697999999
CD8+,IL2-060 monomeric,120.0,0.00047418199999999997,738.4420776000001
CD8+,IL2-060 monomeric,240.0,84.0,3584.01001
CD8+,IL2-060 monomeric,240.0,28.0,2474.340576
CD8+,IL2-060 monomeric,240.0,9.333333332999999,1687.8696289999998
CD8+,IL2-060 monomeric,240.0,3.111111111,1141.601074
CD8+,IL2-060 monomeric,240.0,1.037037037,973.1511230000001
CD8+,IL2-060 monomeric,240.0,0.345679012,939.6590576
CD8+,IL2-060 monomeric,240.0,0.115226337,901.6897582999999
CD8+,IL2-060 monomeric,240.0,0.038408779,846.8361815999999
CD8+,IL2-060 monomeric,240.0,0.012802926000000001,820.2089844
CD8+,IL2-060 monomeric,240.0,0.004267642,788.0726318
CD8+,IL2-060 monomeric,240.0,0.0014225470000000001,800.520874
CD8+,IL2-060 monomeric,240.0,0.00047418199999999997,770.2807007
T-reg,IL2-060 monomeric,30.0,84.0,33788.71094
T-reg,IL2-060 monomeric,30.0,28.0,38817.55469
T-reg,IL2-060 monomeric,30.0,9.333333332999999,34127.67188
T-reg,IL2-060 monomeric,30.0,3.111111111,35590.78906
T-reg,IL2-060 monomeric,30.0,1.037037037,24753.51758
T-reg,IL2-060 monomeric,30.0,0.345679012,31977.69727
T-reg,IL2-060 monomeric,30.0,0.115226337,10589.41797
T-reg,IL2-060 monomeric,30.0,0.038408779,8762.289063
T-reg,IL2-060 monomeric,30.0,0.012802926000000001,2653.33374
T-reg,IL2-060 monomeric,30.0,0.004267642,2668.043701
T-reg,IL2-060 monomeric,30.0,0.0014225470000000001,2257.393799
T-reg,IL2-060 monomeric,30.0,0.00047418199999999997,2556.927979
T-reg,IL2-060 monomeric,60.0,84.0,37342.04688
T-reg,IL2-060 monomeric,60.0,28.0,37736.91797
T-reg,IL2-060 monomeric,60.0,9.333333332999999,36653.17188
T-reg,IL2-060 monomeric,60.0,3.111111111,37060.76172
T-reg,IL2-060 monomeric,60.0,1.037037037,28409.68555
T-reg,IL2-060 monomeric,60.0,0.345679012,30577.16602
T-reg,IL2-060 monomeric,60.0,0.115226337,8600.255859
T-reg,IL2-060 monomeric,60.0,0.038408779,4026.156982
T-reg,IL2-060 monomeric,60.0,0.012802926000000001,3554.95459
T-reg,IL2-060 monomeric,60.0,0.004267642,2086.3286129999997
T-reg,IL2-060 monomeric,60.0,0.0014225470000000001,2202.692871
T-reg,IL2-060 monomeric,60.0,0.00047418199999999997,1798.1521
T-reg,IL2-060 monomeric,120.0,84.0,32069.71484
T-reg,IL2-060 monomeric,120.0,28.0,35697.29297
T-reg,IL2-060 monomeric,120.0,9.333333332999999,32110.81836
T-reg,IL2-060 monomeric,120.0,3.111111111,35767.51172
T-reg,IL2-060 monomeric,120.0,1.037037037,26694.87891
T-reg,IL2-060 monomeric,120.0,0.345679012,27997.4707
T-reg,IL2-060 monomeric,120.0,0.115226337,17174.43555
T-reg,IL2-060 monomeric,120.0,0.038408779,5519.536133
T-reg,IL2-060 monomeric,120.0,0.012802926000000001,2487.690186
T-reg,IL2-060 monomeric,120.0,0.004267642,2886.150879
T-reg,IL2-060 monomeric,120.0,0.0014225470000000001,2593.7661129999997
T-reg,IL2-060 monomeric,120.0,0.00047418199999999997,2020.66748
T-reg,IL2-060 monomeric,240.0,84.0,34338.58203
T-reg,IL2-060 monomeric,240.0,28.0,33618.83594
T-reg,IL2-060 monomeric,240.0,9.333333332999999,31687.039060000003
T-reg,IL2-060 monomeric,240.0,3.111111111,32475.75977
