,Cell,CD25,Donor
0,Treg,4906.652403016938,Donor 303
0,ILC2,2162.835429855749,Donor 303
0,Treg,4570.902871668174,Donor 334
0,ILC2,2069.521480322346,Donor 334
0,Treg,4771.871325837509,Donor 850
0,ILC2,2276.2377595219646,Donor 850
0,Treg,4725.646709042005,Donor X
0,ILC2,1603.414688019818,Donor X
