,Gene
0,ADAM29
1,ICOS
2,ULBP3
3,CD27
4,SELP
5,CCR4
6,GP2
7,CCR8
8,CTLA4
9,IL2RA
10,CD3G
11,IL6ST
12,SLC38A1
13,TRBC1
14,PTPRC
15,TRBC2
16,BTN2A2
17,BTN3A2
18,HFE
19,CD83
20,TRIM52
21,BTNL9
22,BTNL3
23,HLA-F
24,MUC17
