Cell Type,IL-2R$\alpha$,IL-2R$\beta$,$\gamma_{c}$,IL-15R$\alpha$
CD3+CD4+,425,222,13156,1
T-reg,3589,663,14082,1
Naive Treg,3472,638,10482,1
Mem Treg,3768,759,17765,1
T-helper,348,173,13391,1
Naive Th,274,65,12859,1
Mem Th,501,192,16045,1
NK,23,8774,8281,1
NKT,30,885,15601,1
CD8+,24,521,12524,1
Naive CD8+,15,338,13098,1
Mem CD8+,40,634,13432,1
