Classifier,Epitope
CITE_SVM,CD127
CITE_SVM,CD4-2
CITE_SVM,CD109
CITE_SVM,CD27
CITE_SVM,CD44-2
CITE_SVM,CD49d
CITE_SVM,CD55
CITE_SVM,CD44-1
CITE_SVM,CD2
CITE_SVM,CD4-1
CITE_RIDGE,GP130
CITE_RIDGE,CD122
CITE_RIDGE,CD8
CITE_RIDGE,TIGIT
CITE_RIDGE,IgD
CITE_RIDGE,CD29
CITE_RIDGE,CD72
CITE_RIDGE,CD4-1
CITE_RIDGE,CD27
CITE_RIDGE,CD25
distMetricF,TIGIT
distMetricF,CD28
distMetricF,CD3-1
distMetricF,CD146
distMetricF,CD3-2
distMetricF,CD278
distMetricF,CD4-2
distMetricF,CD27
distMetricF,CD4-1
distMetricF,CD25
distMetricT,TIGIT
distMetricT,CD146
distMetricT,TCR-2
distMetricT,CD109
distMetricT,CD3-1
distMetricT,CD3-2
distMetricT,CD27
distMetricT,CD4-2
distMetricT,CD4-1
distMetricT,CD25
