Receptor,Cell Type,Mean
IL2Ra,Treg,3645.72
IL2Ra,Thelper,581.1
IL2Ra,NK,273.76
IL2Ra,CD8,525.89
IL2Rb,Treg,2350.342
IL2Rb,Thelper,2626.65
IL2Rb,NK,6516.9
IL2Rb,CD8,3438.1
gc,Treg,6868.4
gc,Thelper,5612.13
gc,NK,3743.01
gc,CD8,6383.51
IL15Ra,Treg,0.000001
IL15Ra,Thelper,0.000001
IL15Ra,NK,0.000001
IL15Ra,CD8,0.000001
IL7Ra,Treg,3462.47
IL7Ra,Thelper,21646.54
IL7Ra,NK,3472.042
IL7Ra,CD8,20181
