Date,Plate,Name,Panel,Gate
4-23,1,CD3CD4,1,"PolyGate([(2.2e03, 4.5e03), (2.5e03, 2.8e03), (5.2e03, 2.8e03), (5.2e03, 4.5e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-23,1,T-helper,1,"PolyGate([(0.00e03, 4e03), (0.00e03, 1.6e03), (1.1e03, 1.6e03), (2.9e03, 3.1e03), (2.9e03, 4e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-23,1,Naive Th,1,"ThresholdGate(4200.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,1,Mem Th,1,"ThresholdGate(3600.0, ['BL3-H'], region='below') & ThresholdGate(0.0, ['BL3-H'], region='above')"
4-23,1,T-reg,1,"PolyGate([(1.2e03, 1.5e03), (1.2e03, 0.1e03), (5.5e03, 0.1e03), (5.5e03, 2.1e03), (3.0e03, 3.0e3)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-23,1,Naive Treg,1,"ThresholdGate(4200.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,1,Mem Treg,1,"ThresholdGate(3700.0, ['BL3-H'], region='below') & ThresholdGate(200.0, ['BL3-H'], region='above')"
4-23,1,NK,2,"PolyGate([(0.05e3, 4.5e3), (2.9e3, 4.5e3), (2.9e3, 2.7e3), (0.05e3, 2.7e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-23,1,NKT,2,"PolyGate([(3.1e3, 2.4e3), (5.1e3, 2.4e3), (5.1e3, 4.3e3), (3.1e3, 4.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-23,1,CD8+,3,"PolyGate([(1.9e3, 3.0e3), (5.1e3, 3.0e3), (5.1e3, 5.1e3), (1.9e3, 5.1e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-23,1,Naive CD8+,3,"ThresholdGate(4700.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,1,Mem CD8+,3,"ThresholdGate(4200.0, ['BL3-H'], region='below') & ThresholdGate(1000.0, ['BL3-H'], region='above')"
4-23,2,CD3CD4,1,"PolyGate([(2.2e03, 4.5e03), (2.5e03, 2.8e03), (5.2e03, 2.8e03), (5.2e03, 4.5e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-23,2,T-helper,1,"PolyGate([(0.00e03, 4e03), (0.00e03, 1.6e03), (1.1e03, 1.6e03), (2.9e03, 3.1e03), (2.9e03, 4e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-23,2,Naive Th,1,"ThresholdGate(4200.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,2,Mem Th,1,"ThresholdGate(3600.0, ['BL3-H'], region='below') & ThresholdGate(0.0, ['BL3-H'], region='above')"
4-23,2,T-reg,1,"PolyGate([(1.2e03, 1.5e03), (1.2e03, 0.1e03), (5.5e03, 0.1e03), (5.5e03, 2.1e03), (3.0e03, 3.0e3)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-23,2,Naive Treg,1,"ThresholdGate(4300.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,2,Mem Treg,1,"ThresholdGate(3900.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-23,2,NK,2,"PolyGate([(0.05e3, 4.5e3), (2.9e3, 4.5e3), (2.9e3, 2.7e3), (0.05e3, 2.7e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-23,2,NKT,2,"PolyGate([(3.1e3, 2.4e3), (5.1e3, 2.4e3), (5.1e3, 4.3e3), (3.1e3, 4.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-23,2,CD8+,3,"PolyGate([(1.9e3, 3.0e3), (5.1e3, 3.0e3), (5.1e3, 5.1e3), (1.9e3, 5.1e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-23,2,Naive CD8+,3,"ThresholdGate(4700.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-23,2,Mem CD8+,3,"ThresholdGate(4200.0, ['BL3-H'], region='below') & ThresholdGate(1000.0, ['BL3-H'], region='above')"
4-26,1,CD3CD4,1,"PolyGate([(2.2e03, 4.5e03), (2.5e03, 2.8e03), (5.2e03, 2.8e03), (5.2e03, 4.5e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-26,1,T-helper,1,"PolyGate([(0.00e03, 4e03), (0.00e03, 1.9e03), (1.1e03, 1.9e03), (2.9e03, 3.4e03), (2.9e03, 4e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-26,1,Naive Th,1,"ThresholdGate(4350.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-26,1,Mem Th,1,"ThresholdGate(3700.0, ['BL3-H'], region='below') & ThresholdGate(0.0, ['BL3-H'], region='above')"
4-26,1,T-reg,1,"PolyGate([(1.2e03, 1.5e03), (1.2e03, 0.1e03), (5.5e03, 0.1e03), (5.5e03, 2.2e03), (3.0e03, 3.1e3)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-26,1,Naive Treg,1,"ThresholdGate(4200.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-26,1,Mem Treg,1,"ThresholdGate(3700.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-26,1,NK,2,"PolyGate([(0.01e3, 5.3e3), (2.8e3, 5.3e3), (2.8e3, 3.0e3), (0.01e3, 3.0e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-26,1,NKT,2,"PolyGate([(2.9e3, 2.9e3), (5.1e3, 2.9e3), (5.1e3, 4.9e3), (2.9e3, 4.9e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-26,1,CD8+,3,"PolyGate([(1.7e3, 3.2e3), (5.1e3, 3.2e3), (5.1e3, 5.2e3), (1.7e3, 5.2e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-26,1,Naive CD8+,3,"ThresholdGate(5000.0, ['BL3-H'], region='above') & ThresholdGate(6000.0, ['BL3-H'], region='below')"
4-26,1,Mem CD8+,3,"ThresholdGate(4400.0, ['BL3-H'], region='below') & ThresholdGate(1000.0, ['BL3-H'], region='above')"
4-26,2,CD3CD4,1,"PolyGate([(2.2e03, 4.5e03), (2.5e03, 2.8e03), (5.2e03, 2.8e03), (5.2e03, 4.5e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-26,2,T-helper,1,"PolyGate([(0.00e03, 4e03), (0.00e03, 1.9e03), (1.1e03, 1.9e03), (2.9e03, 3.4e03), (2.9e03, 4e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
