Ligand,Date,Cell,Dose,Variance,Mean,Skew,Kurtosis,alphStatCov,Time,Bivalent
WT N-term,11/8/2019,Treg,84.0,381680540.0,29521.506,0.6974288,0.40242028,1037579.5628118748,4.0,0.0
WT N-term,11/8/2019,Treg,28.0,313997250.0,27015.146,0.6231769,0.5181172,484024.8706075137,4.0,0.0
WT N-term,11/8/2019,Treg,9.333333,229370260.0,23862.309,0.3711445,0.106781244,662105.7900704849,4.0,0.0
WT N-term,11/8/2019,Treg,3.111,272393120.0,23333.44,0.56317985,0.1887908,890054.7147936113,4.0,0.0
WT N-term,11/8/2019,Treg,1.037037,257621120.0,21968.072,0.79448754,1.242981,993165.540620494,4.0,0.0
WT N-term,11/8/2019,Treg,0.345679,263380240.0,22338.215,0.64324284,0.5155163,1210324.5483307538,4.0,0.0
WT N-term,11/8/2019,Treg,0.115226,164215980.0,18487.473,0.48611495,0.25653028,1178920.3935348785,4.0,0.0
WT N-term,11/8/2019,Treg,0.038409,247799580.0,18304.557,0.9095852,0.8014643,2112181.1588178826,4.0,0.0
WT N-term,11/8/2019,Treg,0.012803,215323500.0,13115.404,1.5438623,3.2571926,1814611.7920097744,4.0,0.0
WT N-term,11/8/2019,Treg,0.004268,110881050.0,6566.397,1.6350693,4.274493,1421592.552262175,4.0,0.0
WT N-term,11/8/2019,Treg,0.001423,63420064.0,2641.5737,1.3404691,1.6695027,862058.9755372552,4.0,0.0
WT N-term,11/8/2019,Treg,0.000474,39461824.0,10.657715,1.4966382,2.754734,257738.65466545537,4.0,0.0
WT N-term,11/8/2019,Treg,84.0,288036580.0,25141.38,0.65153897,0.54615664,969762.312227894,2.0,0.0
WT N-term,11/8/2019,Treg,28.0,275081900.0,23130.006,0.4459068,-0.22334051,1073793.1706981647,2.0,0.0
WT N-term,11/8/2019,Treg,9.333333,290744130.0,20538.14,0.6052989,-0.14500928,1339452.7727318194,2.0,0.0
WT N-term,11/8/2019,Treg,3.111,286506050.0,23333.418,0.384425,-0.36661577,1120313.6546242612,2.0,0.0
WT N-term,11/8/2019,Treg,1.037037,175206900.0,17144.336,0.5563107,0.11353397,1138539.1046868553,2.0,0.0
WT N-term,11/8/2019,Treg,0.345679,210930800.0,15158.916,0.667399,-0.27057958,1656598.223245251,2.0,0.0
WT N-term,11/8/2019,Treg,0.115226,123958190.0,10544.291,1.1248059,2.786529,1529297.7559860004,2.0,0.0
WT N-term,11/8/2019,Treg,0.038409,126412690.0,4630.0073,3.0976863,16.15493,1352462.0471118966,2.0,0.0
WT N-term,11/8/2019,Treg,0.012803,45837412.0,0.0,4.2855263,34.446323,648506.4607460222,2.0,0.0
WT N-term,11/8/2019,Treg,0.004268,46063548.0,322.81055,2.10195,5.940835,402612.76810918003,2.0,0.0
WT N-term,11/8/2019,Treg,0.001423,75408640.0,1288.9097,2.80424,11.472246,424451.75029864156,2.0,0.0
WT N-term,11/8/2019,Treg,0.000474,31681338.0,0.0,2.938419,12.534537,152383.46844813772,2.0,0.0
WT N-term,11/8/2019,Treg,84.0,305550100.0,27845.63,0.32656172,-0.007831335,1271781.1594400716,1.0,0.0
WT N-term,11/8/2019,Treg,28.0,281435600.0,27440.068,0.22778189,-0.046336174,1087331.0640517103,1.0,0.0
WT N-term,11/8/2019,Treg,9.333333,295287700.0,22518.064,0.36916497,-0.5158584,968149.7142028877,1.0,0.0
WT N-term,11/8/2019,Treg,3.111,373648700.0,26085.03,0.38397273,-0.42791915,1544033.0377419046,1.0,0.0
WT N-term,11/8/2019,Treg,1.037037,153830770.0,16752.492,0.4062916,-0.21010828,1014087.1035207496,1.0,0.0
WT N-term,11/8/2019,Treg,0.345679,243837870.0,18716.627,0.53129953,-0.3445282,1623036.243595822,1.0,0.0
WT N-term,11/8/2019,Treg,0.115226,75244060.0,5399.2153,1.4859116,2.8835201,1210770.9966917883,1.0,0.0
WT N-term,11/8/2019,Treg,0.038409,47830280.0,1712.5728,2.3583837,10.890893,647463.568634171,1.0,0.0
WT N-term,11/8/2019,Treg,0.012803,58571344.0,1611.311,3.0210528,17.288004,896402.409211444,1.0,0.0
WT N-term,11/8/2019,Treg,0.004268,37876520.0,0.0,2.322105,7.649336,267097.1493457022,1.0,0.0
WT N-term,11/8/2019,Treg,0.001423,54347444.0,228.86377,3.019266,14.865374,340960.1412272217,1.0,0.0
WT N-term,11/8/2019,Treg,0.000474,32097980.0,0.0,3.217213,18.720911,445847.0880954447,1.0,0.0
WT N-term,11/8/2019,Treg,84.0,337097200.0,25171.03,0.6913498,0.58809805,1233953.75933477,0.5,0.0
WT N-term,11/8/2019,Treg,28.0,315718270.0,26980.201,0.2500768,-0.44821763,960735.51148855,0.5,0.0
WT N-term,11/8/2019,Treg,9.333333,301954720.0,20542.95,0.46125215,-0.66980577,1660175.5763089368,0.5,0.0
WT N-term,11/8/2019,Treg,3.111,312694500.0,21808.893,0.26061022,-0.97926784,1672064.0096107903,0.5,0.0
WT N-term,11/8/2019,Treg,1.037037,166040020.0,14226.459,0.5935209,-0.36731863,1494502.3851066465,0.5,0.0
WT N-term,11/8/2019,Treg,0.345679,261199400.0,18005.195,0.7707638,0.4515686,2006822.9073422838,0.5,0.0
WT N-term,11/8/2019,Treg,0.115226,105657100.0,7324.431,1.5651152,3.6899052,1505727.1848468934,0.5,0.0
WT N-term,11/8/2019,Treg,0.038409,103243470.0,5906.235,1.6076292,3.1280947,1113654.0719829563,0.5,0.0
WT N-term,11/8/2019,Treg,0.012803,50114030.0,380.69873,3.7771816,26.461283,475586.23256226344,0.5,0.0
WT N-term,11/8/2019,Treg,0.004268,38091540.0,639.8506,1.7595067,3.9767122,540205.4422437651,0.5,0.0
WT N-term,11/8/2019,Treg,0.001423,31145270.0,0.0,2.1075373,6.9342794,208746.09847940574,0.5,0.0
WT N-term,11/8/2019,Treg,0.000474,36756124.0,0.0,3.1736312,18.608147,451262.5991954087,0.5,0.0
WT N-term,11/8/2019,Treg,84.0,339807970.0,24294.117,1.0011209,1.1184015,1074995.029464986,4.0,1
WT N-term,11/8/2019,Treg,28.0,293562180.0,22304.496,0.97920305,0.98293066,670145.0128945287,4.0,1
WT N-term,11/8/2019,Treg,9.333333,207082000.0,18570.594,0.9371152,1.4335423,725854.8436307214,4.0,1
WT N-term,11/8/2019,Treg,3.111,211611420.0,18062.555,0.8578296,0.8629606,846221.3219493114,4.0,1
WT N-term,11/8/2019,Treg,1.037037,158682530.0,14026.457,1.3702184,3.1666627,921685.7720631373,4.0,1
WT N-term,11/8/2019,Treg,0.345679,223064510.0,18419.262,0.89660084,1.1662884,919020.9490814164,4.0,1
WT N-term,11/8/2019,Treg,0.115226,122685330.0,13275.301,0.960408,3.3439474,518655.29825527087,4.0,1
WT N-term,11/8/2019,Treg,0.038409,195366620.0,16252.348,0.7659495,0.69116473,723702.5318831458,4.0,1
WT N-term,11/8/2019,Treg,0.012803,164110500.0,13401.945,0.80815095,0.5458803,1176516.5958333053,4.0,1
WT N-term,11/8/2019,Treg,0.004268,141980180.0,8890.891,1.3012325,3.152882,1117750.6134405287,4.0,1
WT N-term,11/8/2019,Treg,0.001423,87406824.0,3285.5776,1.5566596,2.3123074,689141.0994500305,4.0,1
WT N-term,11/8/2019,Treg,0.000474,78326510.0,2547.7847,2.304327,8.63224,1010003.8851016673,4.0,1
WT N-term,11/8/2019,Treg,84.0,292223000.0,23545.2,0.6770137,0.43926954,882346.9239422206,2.0,1
WT N-term,11/8/2019,Treg,28.0,270240800.0,22283.893,0.58681816,0.11534071,982149.9599765827,2.0,1
WT N-term,11/8/2019,Treg,9.333333,240610100.0,19653.803,0.56894463,0.10616946,700396.467170498,2.0,1
WT N-term,11/8/2019,Treg,3.111,244694190.0,18864.088,0.5025471,-0.19366932,1162322.8003010622,2.0,1
WT N-term,11/8/2019,Treg,1.037037,153643780.0,14734.613,0.6669708,0.5520828,743619.9781018473,2.0,1
WT N-term,11/8/2019,Treg,0.345679,266894980.0,19263.479,0.45980075,-0.49080873,1558737.0607254528,2.0,1
WT N-term,11/8/2019,Treg,0.115226,128318950.0,14270.836,0.50998616,0.058568,864053.8066162488,2.0,1
WT N-term,11/8/2019,Treg,0.038409,195584240.0,14320.047,0.8280785,0.7541828,1479247.6380628913,2.0,1
WT N-term,11/8/2019,Treg,0.012803,143680350.0,8831.104,1.1595997,1.0822334,1465416.0484764024,2.0,1
WT N-term,11/8/2019,Treg,0.004268,68962570.0,3074.9106,1.8545065,4.9690204,1109871.7161652634,2.0,1
WT N-term,11/8/2019,Treg,0.001423,24492080.0,0.0,1.8680983,4.558185,187109.0045251485,2.0,1
WT N-term,11/8/2019,Treg,0.000474,57768516.0,0.0,4.6722994,32.17292,795259.9788383293,2.0,1
WT N-term,11/8/2019,Treg,84.0,294320030.0,23657.605,0.3990589,-0.26215792,907095.2287576268,1.0,1
WT N-term,11/8/2019,Treg,28.0,285183600.0,22561.271,0.5149083,0.05697322,982574.558534604,1.0,1
WT N-term,11/8/2019,Treg,9.333333,284167970.0,21873.877,0.48105535,-0.3696139,1328521.5395715237,1.0,1
WT N-term,11/8/2019,Treg,3.111,282822200.0,20883.05,0.31332728,-0.8492043,1534647.9255891014,1.0,1
WT N-term,11/8/2019,Treg,1.037037,164029500.0,15768.143,0.46610636,-0.336864,514012.57547796046,1.0,1
WT N-term,11/8/2019,Treg,0.345679,224026910.0,19308.229,0.353034,-0.61574435,645426.4457204042,1.0,1
WT N-term,11/8/2019,Treg,0.115226,133793300.0,14917.883,0.32959956,0.03210759,923824.6374950774,1.0,1
WT N-term,11/8/2019,Treg,0.038409,185170190.0,12914.014,0.8337053,0.11482358,1336736.874209985,1.0,1
WT N-term,11/8/2019,Treg,0.012803,89856770.0,7240.6978,1.0310278,0.82945967,1207055.4404284942,1.0,1
WT N-term,11/8/2019,Treg,0.004268,58607680.0,2704.8188,2.0558734,5.544304,1085108.6171112882,1.0,1
WT N-term,11/8/2019,Treg,0.001423,17709624.0,0.0,1.6743153,5.146758,255513.27806951836,1.0,1
WT N-term,11/8/2019,Treg,0.000474,30402230.0,0.0,2.679634,13.433813,534592.8379483119,1.0,1
WT N-term,11/8/2019,Treg,84.0,380205120.0,29827.412,0.4782403,0.021333218,1149107.769998734,0.5,1
WT N-term,11/8/2019,Treg,28.0,368328800.0,22316.945,0.6023136,-0.2268734,1681946.2631028472,0.5,1
WT N-term,11/8/2019,Treg,9.333333,318031800.0,23074.639,0.36824238,-0.62021923,1692530.4693702364,0.5,1
WT N-term,11/8/2019,Treg,3.111,331854180.0,25831.303,0.27375612,-0.49098396,1525204.7094633114,0.5,1
WT N-term,11/8/2019,Treg,1.037037,257503920.0,23456.957,0.12728137,-0.578362,1306374.620547504,0.5,1
WT N-term,11/8/2019,Treg,0.345679,308958660.0,23678.834,0.2868365,-0.50712824,1330041.3700060667,0.5,1
WT N-term,11/8/2019,Treg,0.115226,224097810.0,16404.69,0.6111923,-0.30467176,1850994.118707869,0.5,1
WT N-term,11/8/2019,Treg,0.038409,131276410.0,9072.893,1.7058084,5.534011,2027051.227218816,0.5,1
WT N-term,11/8/2019,Treg,0.012803,61618716.0,2436.4634,1.8300456,4.183701,1118162.0331848708,0.5,1
WT N-term,11/8/2019,Treg,0.004268,31068448.0,0.0,3.3317578,22.289637,523110.0533796252,0.5,1
WT N-term,11/8/2019,Treg,0.001423,29049630.0,0.0,1.9663965,5.377283,405186.5009002109,0.5,1
WT N-term,11/8/2019,Treg,0.000474,39010390.0,0.0,2.6069927,9.530575,599845.7163617341,0.5,1
WT N-term,11/8/2019,Thelper,84.0,228868880.0,12591.789,1.3758687,1.8649383,1052592.9945276128,4.0,0
WT N-term,11/8/2019,Thelper,28.0,184959150.0,10159.717,1.6352317,2.7446637,1035163.2307425323,4.0,0
WT N-term,11/8/2019,Thelper,9.333333,156468000.0,8012.5186,2.0792882,4.607816,1089279.6494664175,4.0,0
WT N-term,11/8/2019,Thelper,3.111,152689070.0,6771.1924,2.4626086,6.3405323,1287063.8334642407,4.0,0
WT N-term,11/8/2019,Thelper,1.037037,111133620.0,5038.771,2.6102777,7.442915,1194953.5516398498,4.0,0
WT N-term,11/8/2019,Thelper,0.345679,113912790.0,5018.97,2.6308727,7.0740623,1225864.265871947,4.0,0
WT N-term,11/8/2019,Thelper,0.115226,58933140.0,3251.4585,3.1850836,12.313283,829235.9989034592,4.0,0
WT N-term,11/8/2019,Thelper,0.038409,27328814.0,1755.456,4.438594,26.168758,410868.0831122161,4.0,0
WT N-term,11/8/2019,Thelper,0.012803,8331005.5,627.8823,6.251741,71.05851,104742.04606591508,4.0,0
WT N-term,11/8/2019,Thelper,0.004268,3379048.0,199.16943,5.2569375,71.270744,-442.78992167417164,4.0,0
WT N-term,11/8/2019,Thelper,0.001423,1940143.8,0.0,2.2345803,15.1514225,-40624.908550072236,4.0,0
WT N-term,11/8/2019,Thelper,0.000474,2384719.0,0.0,4.351553,62.98545,-45011.56222478529,4.0,0
WT N-term,11/8/2019,Thelper,84.0,142771540.0,9085.213,1.5094914,2.2942376,441198.3079901786,2.0,0
WT N-term,11/8/2019,Thelper,28.0,122072340.0,7612.7686,1.9162977,4.165291,533876.1467410354,2.0,0
WT N-term,11/8/2019,Thelper,9.333333,88356620.0,4415.206,2.827496,8.977645,916056.2945231516,2.0,0
