Date,Cell,Scale
3/15/2019,CD8,2.686604252262145
3/15/2019,NK,1.314476036518211
3/15/2019,Thelper,2.078930623823439
3/15/2019,Treg,1.7845598669162126
3/27/2019,CD8,1.623547449942489
3/27/2019,NK,0.7672755104579904
3/27/2019,Thelper,1.8777557299492615
3/27/2019,Treg,1.5204928617519031
4/18/2019,CD8,1.2852569386440318
4/18/2019,NK,0.49571519344652304
4/18/2019,Thelper,1.6129813380131173
4/18/2019,Treg,1.172510774999687
4/19/2019,CD8,0.6977597399789836
4/19/2019,NK,0.4212182221619079
4/19/2019,Thelper,1.6188143500953263
4/19/2019,Treg,1.4701735432646805
5/2/2019,CD8,0.6242940578801709
5/2/2019,NK,0.4176328944278245
5/2/2019,Thelper,1.154359318756941
5/2/2019,Treg,1.3421960683686274
11/8/2019,CD8,0.7823522157074468
11/8/2019,NK,0.4983309882612575
11/8/2019,Thelper,1.0788030822537094
11/8/2019,Treg,0.9495455802856125
11/27/2019,CD8,0.29895632921101656
11/27/2019,NK,0.12875695888452662
11/27/2019,Thelper,0.46525056177166246
11/27/2019,Treg,0.509049395588596
12/5/2019,CD8,0.5683111107540977
12/5/2019,NK,0.2609940216905391
12/5/2019,Thelper,0.5212670844928357
12/5/2019,Treg,0.6450135867078042
