Receptor,Bin,Mean,Cell Type
IL2Ra,1,714.6364885,Treg
IL2Ra,2,2160.670363,Treg
IL2Ra,3,5745.722461,Treg
IL2Rb,1,2271.71559,Treg
IL2Rb,2,2288.926788,Treg
IL2Rb,3,2459.494879,Treg
IL2Ra,1,67.31259012,Thelper
IL2Ra,2,266.8469944,Thelper
IL2Ra,3,961.2216773,Thelper
IL2Rb,1,2877.910846,Thelper
IL2Rb,2,2604.618024,Thelper
IL2Rb,3,2554.45418,Thelper
