,Cell,Ligand,Valency,EC50
0,CD8$^{+}$,Live/Dead,2,99.99999999765693
0,CD8$^{+}$,Live/Dead,4,99.99999999899667
0,CD8$^{+}$,R38Q/H16N,1,99.99999999995849
0,CD8$^{+}$,R38Q/H16N,2,99.99999999561713
0,CD8$^{+}$,R38Q/H16N,4,44.27619651446473
0,NK,Live/Dead,2,99.99999999973802
0,NK,Live/Dead,4,16.843668794556116
0,NK,R38Q/H16N,1,99.9999999999998
0,NK,R38Q/H16N,2,99.9999999997274
0,NK,R38Q/H16N,4,99.9999999999998
0,NK$^{Bright}$,Live/Dead,2,26.165230577574125
0,NK$^{Bright}$,Live/Dead,4,6.458744298195687
0,NK$^{Bright}$,R38Q/H16N,1,99.9999999999998
0,NK$^{Bright}$,R38Q/H16N,2,99.99999999999815
0,NK$^{Bright}$,R38Q/H16N,4,10.513239453156604
0,T$_{helper}$,Live/Dead,2,57.15089175123852
0,T$_{helper}$,Live/Dead,4,15.086820747920784
0,T$_{helper}$,R38Q/H16N,1,99.9999999999998
0,T$_{helper}$,R38Q/H16N,2,99.9999999960967
0,T$_{helper}$,R38Q/H16N,4,18.718047843458578
0,T$_{reg}$,Live/Dead,2,0.596126030513279
0,T$_{reg}$,Live/Dead,4,0.09805634955838602
0,T$_{reg}$,R38Q/H16N,1,20.76653984256261
0,T$_{reg}$,R38Q/H16N,2,32.52400017256005
0,T$_{reg}$,R38Q/H16N,4,0.390947080843117
