Epitope
CD127
CD4-2
CD109
CD27
CD44-2
CD49d
CD55
CD44-1
CD2
CD4-1
GP130
CD122
CD8
TIGIT
IgD
CD29
CD72
CD25
CD28
CD3-1
CD146
CD3-2
CD278
TCR-2
