kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,sortF,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,Y_15,Y_int,logp
-10.94332289,-0.967208676,-3.072967994,-2.347246263,-2.579621887,-2.270351167,-2.356431212,-2.384040277,-2.376016405,-3.882998324,0.709975952,-1.271393987,-5.462139983,0.806301592,-0.335293575,0.728389021,-1.223369243,-3.116793376,1.77E-05,0.38014266,0.046283581,0.095632146,0.075802661,0.103275907,0.094757791,0.092177402,0.092919997,0.020589,2.033942346,0.042419835,0.280440419,0.004244463,2.23960966,0.715128112,2.071740387,0.294237138,1.629402851,0.747417736,-2439.183844
-10.93763781,-1.040622841,-3.029672164,-2.332849088,-2.448625565,-2.294059653,-2.349659362,-2.380633513,-2.309596361,-3.89496034,0.766205882,-1.382246828,-5.425687222,0.804851425,-0.320492457,0.827371292,-1.171968158,-3.129709835,1.78E-05,0.353234605,0.04833148,0.097018937,0.086412273,0.100856188,0.095401654,0.092491964,0.099301325,0.020344181,2.151587371,0.041898254,0.251013934,0.00440204,2.236364206,0.725791528,2.287298192,0.309756691,1.760540256,0.740525161,-2439.038156
-10.96322832,-1.056247885,-3.021564927,-2.256965816,-2.462235539,-2.460786958,-2.244114389,-2.285280207,-2.382360741,-3.685505515,0.723757563,-1.158290812,-5.471822839,0.888496891,-0.184867317,0.935838196,-1.064131561,-3.045529423,1.73E-05,0.347758194,0.048724908,0.104667584,0.085244171,0.085367744,0.106021393,0.101745548,0.092332347,0.025084491,2.062167396,0.045410874,0.314022446,0.004203563,2.431472136,0.831214564,2.549349416,0.34502736,1.680991457,0.76174461,-2440.50394
-10.94212259,-1.075257896,-3.116255908,-2.248328103,-2.492599636,-2.460593478,-2.242064883,-2.291523749,-2.390935428,-3.72521011,0.702656612,-1.16235267,-5.38549968,0.917258693,-0.196394863,0.908861458,-1.073017352,-3.093825594,1.77E-05,0.341209747,0.044322807,0.105575589,0.082694711,0.085384262,0.106238907,0.101112275,0.091544011,0.024108035,2.019109579,0.043362663,0.312749518,0.00458255,2.502421074,0.821687717,2.481495638,0.3419751,1.808084731,0.757416676,-2441.118697
-10.98895568,-1.048992052,-3.044566612,-2.203691034,-2.550107632,-2.538702159,-2.300589691,-2.253341376,-2.491733574,-3.92732698,0.795558809,-1.267235046,-5.445866983,0.861352877,-0.274961094,0.839377044,-1.17529413,-3.03296752,1.69E-05,0.350290646,0.047616944,0.110394934,0.078073262,0.078968822,0.100199739,0.105047634,0.082766361,0.019696251,2.215678793,0.045958537,0.281609183,0.004314098,2.366359922,0.759601675,2.314924431,0.30872816,1.63339782,0.731889562,-2441.64127
-11.0009506,-1.069805801,-3.027560357,-2.166703962,-2.544559511,-2.519145457,-2.371331917,-2.249862027,-2.491307907,-3.942293351,0.768125158,-1.253050132,-5.391161538,0.871477965,-0.272650828,0.817261983,-1.170341847,-3.09494898,1.67E-05,0.343075136,0.048433655,0.114554572,0.078507626,0.080528392,0.093356301,0.105413768,0.082801599,0.019403664,2.155720827,0.043316086,0.285632251,0.004556678,2.390441232,0.761358586,2.264291674,0.310260861,1.718023079,0.738603042,-2440.492543
-10.72503586,-0.947293346,-2.999810111,-2.171541924,-2.512104772,-2.40444956,-2.197516783,-2.349357817,-2.173293215,-3.976618189,0.6536944,-1.272892579,-5.443096301,0.797745489,-0.346634025,0.770141883,-1.208547466,-2.84519383,2.20E-05,0.387789215,0.049796523,0.114001699,0.081097368,0.090315195,0.111078649,0.095430426,0.113802224,0.018748938,1.922630691,0.054930287,0.280020468,0.004326068,2.220529075,0.707064048,2.160072711,0.298630736,1.704526376,0.736141619,-2441.242177
-10.86802382,-0.812305261,-3.021830209,-2.151255521,-2.35232936,-2.483470745,-2.525491169,-2.453437569,-2.430918824,-3.672154014,0.732340624,-1.29033611,-5.411642275,0.878648904,-0.360767044,0.738154923,-1.245744793,-3.344044809,1.91E-05,0.443833734,0.048711984,0.116338001,0.095147272,0.083453078,0.080019,0.085997456,0.087955979,0.025421652,2.07994328,0.034090717,0.275178277,0.004464303,2.40764455,0.697141383,2.092071917,0.287726532,1.76637124,0.729138811,-2441.378517
-10.69191574,-0.997937313,-3.069974279,-2.265652996,-2.311128921,-2.482262206,-2.335345199,-2.190273359,-2.125020077,-3.679662652,0.747058879,-1.303328435,-5.403731981,0.981571545,-0.313037346,0.944944788,-1.167288335,-2.952050629,2.27E-05,0.368639044,0.046422349,0.103762256,0.099149257,0.083553995,0.096777069,0.111886159,0.11943057,0.025231485,2.110782812,0.049639683,0.271626197,0.004499757,2.668646847,0.731222604,2.572671333,0.311209695,1.805150874,0.724733877,-2441.551123
-10.89772778,-0.879553054,-3.007091831,-2.226661311,-2.513971313,-2.423454139,-2.373234648,-2.365409106,-2.362336861,-3.780457974,0.745229677,-1.219411335,-5.452359675,0.854457509,-0.24772981,0.849058026,-1.127964808,-3.044464857,1.85E-05,0.414968339,0.049435236,0.107888034,0.080946138,0.088615,0.093178838,0.093910873,0.094199834,0.022812242,2.106925291,0.045457044,0.29540401,0.004286179,2.350099126,0.780570817,2.337444003,0.32369136,1.697043722,0.729017683,-2434.691441
-10.90370995,-0.860479624,-3.009893807,-2.229720711,-2.520756436,-2.418935625,-2.346178397,-2.371065316,-2.364199063,-3.786315554,0.695883664,-1.200443381,-5.469516728,0.849083672,-0.243104975,0.810019586,-1.143680218,-3.036268109,1.84E-05,0.422959172,0.049296913,0.107558466,0.080398767,0.089016314,0.095734323,0.093381193,0.094024578,0.022679008,2.005480462,0.045814035,0.301060698,0.004213268,2.33750395,0.784189189,2.247952015,0.318644181,1.625126341,0.746513301,-2435.979333
-10.86757837,-0.85055908,-2.909985933,-2.391498692,-2.28575378,-2.249974278,-2.475005425,-2.184528954,-2.303435793,-3.919139161,0.724090338,-1.151809894,-5.42646476,0.774183946,-0.275734944,0.762842254,-1.154161293,-3.011415426,1.91E-05,0.42717604,0.054476496,0.091492462,0.101697376,0.105401936,0.084162534,0.112530728,0.099914966,0.019858182,2.062853746,0.046912819,0.316064209,0.004398619,2.168821529,0.759014085,2.144362389,0.315321889,1.698053618,0.734309733,-2444.191723
-10.90188458,-1.052945168,-3.147332666,-2.150469108,-2.546567597,-2.536518739,-2.242201112,-2.273125877,-2.28215076,-3.637330611,0.762571746,-1.179918846,-5.474777007,0.915410102,-0.323587729,0.835508615,-1.17774116,-3.10164375,1.84E-05,0.34890864,0.04296658,0.116429527,0.078350134,0.079141433,0.106224435,0.102989743,0.102064454,0.026322515,2.143782401,0.043039503,0.307303676,0.004191163,2.497799394,0.723548479,2.30598661,0.307973617,1.726959486,0.72745974,-2439.166702
