kfwd_log____0,k27rev_log____0,k33rev_log____0,endo_log____0,endo_log____1,sortF_logodds____0,kRec_kDeg_log____0,kRec_kDeg_log____1,scales_log____0,scales_log____1,kfwd__0,k27rev__0,k33rev__0,endo__0,endo__1,sortF__0,kRec_kDeg__0,kRec_kDeg__1,scales__0,scales__1,Y_int,Y_cross,logp
-4.535984589350885,-9.533390181274212,-18.331637021680407,-2.6726977849058238,-2.3951942651096605,-1.71030441819974,-1.7677401495072176,-2.372209867081372,2.2543723370684328,3.0089642144961357,0.010716350825602922,7.239377946364998e-05,1.0931284493408601e-08,0.06906564948509185,0.09115496897239732,0.15312423549547152,0.17071835118079665,0.09327437438741584,9.529310237867127,20.266397409415703,46153147.08250332,74884.92124793708,-1859.6424359589919
-4.5723052266474005,-10.923204363410703,-10.486611535939387,-2.741316777844904,-2.398859780201359,-1.7858742026504923,-1.7876365157729406,-2.2653285773005933,2.2676082225351,2.9787557093473485,0.010334109773185362,1.8034853559966712e-05,2.7907599130912968e-05,0.06448537804576701,0.09082145068952456,0.14357930355556783,0.16735524408676666,0.1037959239526164,9.65627750525974,19.663334513142694,45055973.82316558,74802.08910926995,-1858.2068991446163
-4.423936087666924,-11.077281022322081,-9.026738208735397,-2.693564232525454,-2.348359952106952,-1.920623445637301,-1.7364827259680184,-2.276801899463268,2.2138999009562847,3.0186019030507163,0.011986957591150852,1.545959019921732e-05,0.00012015377121280819,0.0676394265793458,0.09552570053918943,0.12779206016258798,0.17613884093864038,0.10261184552360433,9.151336195824419,20.462662889381065,42990247.51093684,74760.7138968695,-1858.2110819136242
-4.771332018154253,-10.348131893161515,-8.483591593239296,-2.593188886393568,-2.154598979548978,-1.9400851742006455,-1.7356523591627238,-2.351821978553888,2.1584828127490994,3.042528571385078,0.008469091659538054,3.2052611586422826e-05,0.0002068345016860992,0.07478119073438143,0.11594967948352415,0.1256384995357579,0.1762851615267511,0.09519555984521275,8.657991893772165,20.958170521946638,49387169.9053948,74785.69025845944,-1860.6944792147528
-4.271397862870197,-7.184610870028415,-9.481429748851216,-2.6920646544513867,-2.3301865684224348,-1.8677846902654485,-1.772924055627568,-2.2356218670922106,2.246893780599594,2.9523442963143283,0.013962252191792411,0.0007581639748718948,7.625483391716535e-05,0.06774093326996868,0.09727759646870766,0.13379826048233154,0.16983565316379987,0.10692561565207322,9.458310571561267,19.150796286723903,40258278.122669615,75028.23593360414,-1859.0624170628412
-4.235667695674182,-12.332485843057853,-7.987788997885287,-2.700612680205291,-2.2759352043509855,-2.1949540092010555,-1.8090373799934103,-2.4776324002945396,2.217783365013423,2.9344030604930995,0.014470145318085914,4.406253204790075e-06,0.0003395840750493515,0.06716434986353503,0.10270081725869656,0.10020453681019646,0.16381174939729914,0.08394173092630036,9.186944177422843,18.810271189113706,40484826.305889286,74872.34846601215,-1860.7872244477028
-4.5840731322571,-9.628677037138893,-9.391922824215616,-2.496817956041216,-2.2733861888645426,-1.6852687588330324,-1.741010955084928,-2.039599587269575,2.1594664112736135,3.0012268317796478,0.010213211698576299,6.58140618104403e-05,8.339494814663314e-05,0.08234661271089364,0.1029629371642821,0.1563990581766329,0.1753430470388404,0.13008078645474844,8.66651207135427,20.110193619913286,45695928.13937566,75328.60206626028,-1865.775603958265
-4.445893927842706,-8.800390489015424,-7.443008192007315,-2.796634309665286,-2.2594578441942303,-2.248509059973908,-1.8766564706303202,-2.606208096612037,2.230082174221959,2.8991083982391217,0.011726618593273265,0.00015067422697591067,0.0005855211854824581,0.06101507527626838,0.1044070743147028,0.09547814793292972,0.15310114912517267,0.07381390897689658,9.300630320143,18.15794849108482,43890291.87267102,74651.23627411747,-1863.0794652727
-4.232987442850289,-11.155181363321832,-18.277321375513257,-2.5835671904278072,-2.3858612430024695,-2.144659846872086,-1.8640682505034762,-2.2720868944397865,2.021671290197308,2.9862475505930317,0.014508980987394185,1.430099613517878e-05,1.1541444902525206e-08,0.07550418525459905,0.09200970273322864,0.10483129566852431,0.1550406016084924,0.10309680328141363,7.550934196161051,19.8112023030572,42108509.09646838,75184.43722534072,-1861.3380716634929
-4.617529840013474,-9.484143152815447,-17.05414786783456,-2.61820490096523,-2.3562299976437306,-1.9948106748931358,-1.8621813752949568,-2.3326982013027,2.3470261008611035,2.8758325636304902,0.009877164127894135,7.604820421023267e-05,3.9217299730998115e-08,0.07293366854570944,0.0947768594976767,0.11974884543405734,0.15533342004502892,0.09703357743030257,10.454433019610581,17.740187809922414,47839958.589926176,74986.33560946977,-1859.0423408014726
-4.339788118908687,-9.911677723690858,-11.420466951050614,-2.7607683860272405,-2.1987013060837772,-1.7276530383242497,-1.9154127258625016,-2.267817745920957,1.9947450005871803,2.89896109409604,0.013039290689909402,4.9592163845980066e-05,1.0968676358774703e-05,0.06324315452867992,0.11094715123109036,0.15088802811526017,0.14728103334879716,0.10353787968687236,7.350328459452836,18.155273947032768,43226681.53408329,75158.54704303821,-1859.71281318626
-4.701777313906991,-11.62940455257058,-8.270081963881182,-2.6675486955990015,-2.298180501285021,-2.380350264576959,-1.748385442729763,-2.1795494540838694,2.419635187464869,3.007149040901795,0.00907912629599232,8.900487098363834e-06,0.00025606430237292327,0.06942219182875503,0.100441430618061,0.08468341202690725,0.17405473805270624,0.1130924725153982,11.24175743268997,20.229643747215775,47061559.285347976,74505.05322455142,-1860.5493444465424
-4.524053898143173,-13.018070842373042,-8.544890912086746,-2.679943072167388,-2.2735924983074063,-1.9418574469160443,-1.84931545452269,-2.3921467268798,2.2450255392382124,2.9334971953253737,0.010844970030535984,2.2198501988040084e-06,0.00019453646882683313,0.06856705741714207,0.10294169712916537,0.12544393837010778,0.15734483915396594,0.09143319095591611,9.440656660560869,18.79323933509434,45079667.780392274,74888.41152049816,-1856.6507570374786
-4.246877619507213,-12.974398751546051,-8.387641943869566,-2.795440648821645,-2.2522968278711795,-1.7848356484572012,-1.8692845183776179,-2.3931779545097744,2.2861024729153754,2.904416097767242,0.014308841879989265,2.3189437606298146e-06,0.0002276634891888921,0.061087950067737165,0.10515741848506059,0.1437070559092191,0.15423397392117083,0.09133895112281694,9.836524750447435,18.254581648745532,40407709.24339821,75039.55637944584,-1859.2226875602782
-4.274482664475544,-17.869220785133848,-12.138534400366098,-2.6587987859990885,-2.137074693981601,-2.2159446537157605,-1.7824463203716419,-2.378652603463219,2.2108083649728814,2.97594182072853,0.013919247777961823,1.7357853439916807e-08,5.349355881070702e-06,0.07003229501283811,0.11799952334407751,0.09832776371698229,0.16822610852836503,0.09267536388744504,9.123088198028203,19.60808185382016,40625220.76602045,74837.7893609459,-1861.1403785679959
