FITC-A,Pacific Blue-A,0
PE-A,Pacific Blue-A,0
BV605-A,Pacific Blue-A,4.03
PerCP-Cy5-5-A,Pacific Blue-A,0
Alexa Fluor 700-A,Pacific Blue-A,0
APC-Cy7-A,Pacific Blue-A,0
Pacific Blue-A,FITC-A,0
PE-A,FITC-A,11.19
BV605-A,FITC-A,0.6
PerCP-Cy5-5-A,FITC-A,0.3
Alexa Fluor 700-A,FITC-A,0
APC-Cy7-A,FITC-A,0
Pacific Blue-A,PE-A,0
FITC-A,PE-A,1.56
BV605-A,PE-A,13.37
PerCP-Cy5-5-A,PE-A,7.1
Alexa Fluor 700-A,PE-A,0
APC-Cy7-A,PE-A,0
Pacific Blue-A,BV605-A,2.2
FITC-A,BV605-A,0
PE-A,BV605-A,0
PerCP-Cy5-5-A,BV605-A,0.5
Alexa Fluor 700-A,BV605-A,0
APC-Cy7-A,BV605-A,0
Pacific Blue-A,PerCP-Cy5-5-A,0
FITC-A,PerCP-Cy5-5-A,0
PE-A,PerCP-Cy5-5-A,1.66
BV605-A,PerCP-Cy5-5-A,0
Alexa Fluor 700-A,PerCP-Cy5-5-A,226.18
APC-Cy7-A,PerCP-Cy5-5-A,30.74
Pacific Blue-A,Alexa Fluor 700-A,0
FITC-A,Alexa Fluor 700-A,0
PE-A,Alexa Fluor 700-A,0
BV605-A,Alexa Fluor 700-A,0
PerCP-Cy5-5-A,Alexa Fluor 700-A,0
APC-Cy7-A,Alexa Fluor 700-A,20.08
Pacific Blue-A,APC-Cy7-A,0
FITC-A,APC-Cy7-A,0
PE-A,APC-Cy7-A,0
BV605-A,APC-Cy7-A,0
PerCP-Cy5-5-A,APC-Cy7-A,0
Alexa Fluor 700-A,APC-Cy7-A,10.5
